,epithelial cell of proximal tubule,fibroblast,glomerular visceral epithelial cell,kidney capillary endothelial cell,kidney connecting tubule epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leukocyte,mesangial cell,parietal epithelial cell,renal alpha-intercalated cell,renal beta-intercalated cell,renal principal cell
ENSG00000149635,0.6500348,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774,0.029163774
ENSG00000158296,0.5643953,0.0640889,0.036438257,0.05662353,0.02299,0.020166649,0.027176293,0.03353761,0.05719329,0.037657794,0.02250985,0.03090029,0.026322247
ENSG00000172315,0.06395713,0.000933117,0.14928469,0.089274906,0.08836457,0.094044425,0.07778296,0.000933117,0.044519123,0.09492589,0.1359043,0.102133244,0.057942655
ENSG00000197496,0.01839482,0.1482557,0.15557931,0.22374642,0.08084857,0.0040626875,0.0041975896,0.11507743,0.01674996,0.1112996,0.015233845,0.013838729,0.09271532
ENSG00000064655,0.14203945,0.21265104,0.08744301,0.013996701,0.10674627,0.159724,0.028618338,0.040601615,0.025090577,0.16330667,0.00718931,0.0042296746,0.00836323
ENSG00000101040,0.068027936,0.0609216,0.07123461,0.08826492,0.083435744,0.090263285,0.09775881,0.080444925,0.05594078,0.11407849,0.051539466,0.05125814,0.08683131
ENSG00000267882,0.14036474,0.010334819,0.28498656,0.12236093,0.081359714,0.010334819,0.067621686,0.010334819,0.010334819,0.010334819,0.11742997,0.010334819,0.12386743
ENSG00000231119,0.10584656,0.006924774,0.006924774,0.31672475,0.092924304,0.12722015,0.087135024,0.006924774,0.006924774,0.006924774,0.006924774,0.22167574,0.006924774
ENSG00000224565,0.22139943,0.012904736,0.012904736,0.012904736,0.18148884,0.16006005,0.080493666,0.012904736,0.012904736,0.25331998,0.012904736,0.012904736,0.012904736
ENSG00000124151,0.04020048,0.07994288,0.03998335,0.19968897,0.06532661,0.072914734,0.06714587,0.119244345,0.0860343,0.041149203,0.053334534,0.08027878,0.05475589
ENSG00000196562,0.069877185,0.047332603,0.3113425,0.14019862,0.014937999,0.07782048,0.05791656,0.18189652,0.009308047,0.06953776,0.004868801,0.008280325,0.006682656
ENSG00000235621,0.5020115,0.00067808246,0.00067808246,0.027310254,0.01839182,0.34621027,0.06367467,0.00067808246,0.00067808246,0.00067808246,0.00067808246,0.03765493,0.00067808246
ENSG00000124126,0.0015133582,0.037504688,0.008489353,0.32005313,0.0061674104,0.009209367,0.017378777,0.53985643,0.047784947,0.0028950886,0.006957394,3.435219e-05,0.0021556886
ENSG00000124198,0.053004526,0.051905725,0.04253437,0.09375407,0.07570324,0.11014524,0.10179215,0.06782098,0.077203736,0.050468307,0.08740693,0.1154875,0.07277328
ENSG00000227431,0.053870272,0.26452512,0.0028249305,0.101569384,0.06379013,0.1681301,0.07206887,0.0028249305,0.13404919,0.0028249305,0.07601719,0.0028249305,0.054679982
